GAME_ID,GAME_DATE,GAME_START(EST),TIMESTAMP,KALSHI_ID_AWAY,KALSHI_ID_HOME,MATCHUP,ABBR_AWAY,NAME_AWAY,PTS_AWAY,ABBR_HOME,NAME_HOME,PTS_HOME,WINNER,STATUS
22500001,2025-10-21,7:30PM,1761075000,KXNBAGAME-25OCT21HOUOKC-HOU,KXNBAGAME-25OCT21HOUOKC-OKC,HOU @ OKC,HOU,Houston Rockets,124,OKC,Oklahoma City Thunder,125,Oklahoma City Thunder,Final/OT2
22500002,2025-10-21,10:00PM,1761084000,KXNBAGAME-25OCT21GSWLAL-GSW,KXNBAGAME-25OCT21GSWLAL-LAL,GSW @ LAL,GSW,Golden State Warriors,119,LAL,Los Angeles Lakers,109,Golden State Warriors,Final
22500086,2025-10-22,8:00PM,1761163200,KXNBAGAME-25OCT22WASMIL-WAS,KXNBAGAME-25OCT22WASMIL-MIL,WAS @ MIL,WAS,Washington Wizards,120,MIL,Milwaukee Bucks,133,Milwaukee Bucks,Final
22500003,2025-10-22,7:00PM,1761159600,KXNBAGAME-25OCT22CLENYK-CLE,KXNBAGAME-25OCT22CLENYK-NYK,CLE @ NYK,CLE,Cleveland Cavaliers,111,NYK,New York Knicks,119,New York Knicks,Final
22500081,2025-10-22,7:00PM,1761159600,KXNBAGAME-25OCT22MIAORL-MIA,KXNBAGAME-25OCT22MIAORL-ORL,MIA @ ORL,MIA,Miami Heat,121,ORL,Orlando Magic,125,Orlando Magic,Final
22500088,2025-10-22,10:00PM,1761170400,KXNBAGAME-25OCT22SACPHX-SAC,KXNBAGAME-25OCT22SACPHX-PHX,SAC @ PHX,SAC,Sacramento Kings,116,PHX,Phoenix Suns,120,Phoenix Suns,Final
22500089,2025-10-22,10:00PM,1761170400,KXNBAGAME-25OCT22MINPOR-MIN,KXNBAGAME-25OCT22MINPOR-POR,MIN @ POR,MIN,Minnesota Timberwolves,118,POR,Portland Trail Blazers,114,Minnesota Timberwolves,Final
22500082,2025-10-22,7:30PM,1761161400,KXNBAGAME-25OCT22TORATL-TOR,KXNBAGAME-25OCT22TORATL-ATL,TOR @ ATL,TOR,Toronto Raptors,138,ATL,Atlanta Hawks,118,Toronto Raptors,Final
22500083,2025-10-22,7:30PM,1761161400,KXNBAGAME-25OCT22PHIBOS-PHI,KXNBAGAME-25OCT22PHIBOS-BOS,PHI @ BOS,PHI,Philadelphia 76ers,117,BOS,Boston Celtics,116,Philadelphia 76ers,Final
22500084,2025-10-22,8:00PM,1761163200,KXNBAGAME-25OCT22DETCHI-DET,KXNBAGAME-25OCT22DETCHI-CHI,DET @ CHI,DET,Detroit Pistons,111,CHI,Chicago Bulls,115,Chicago Bulls,Final
22500004,2025-10-22,9:30PM,1761168600,KXNBAGAME-25OCT22SASDAL-SAS,KXNBAGAME-25OCT22SASDAL-DAL,SAS @ DAL,SAS,San Antonio Spurs,125,DAL,Dallas Mavericks,92,San Antonio Spurs,Final
22500087,2025-10-22,9:00PM,1761166800,KXNBAGAME-25OCT22LACUTA-LAC,KXNBAGAME-25OCT22LACUTA-UTA,LAC @ UTA,LAC,LA Clippers,108,UTA,Utah Jazz,129,Utah Jazz,Final
22500085,2025-10-22,8:00PM,1761163200,KXNBAGAME-25OCT22NOPMEM-NOP,KXNBAGAME-25OCT22NOPMEM-MEM,NOP @ MEM,NOP,New Orleans Pelicans,122,MEM,Memphis Grizzlies,128,Memphis Grizzlies,Final
22500080,2025-10-22,7:00PM,1761159600,KXNBAGAME-25OCT22BKNCHA-BKN,KXNBAGAME-25OCT22BKNCHA-CHA,BKN @ CHA,BKN,Brooklyn Nets,117,CHA,Charlotte Hornets,136,Charlotte Hornets,Final
