GAME_ID,GAME_DATE,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,MATCHUP,END_Q,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,WL
0022500001,2025-10-21,1610612760,Thunder,OKC,OKC vs. HOU,2.0,19,43,0.442,5,20,0.25,8,9,0.889,5,11,16,14,3,2,7,10,-6.0,W
0022500001,2025-10-21,1610612745,Rockets,HOU,HOU @ OKC,2.0,20,43,0.465,7,19,0.368,10,10,1.0,7,15,22,13,5,1,8,10,6.0,L
0022500002,2025-10-21,1610612747,Lakers,LAL,LAL vs. GSW,2.0,20,36,0.556,5,17,0.294,9,16,0.563,3,18,21,10,4,2,14,13,-1.0,L
0022500002,2025-10-21,1610612744,Warriors,GSW,GSW @ LAL,2.0,16,40,0.4,7,18,0.389,16,18,0.889,6,15,21,13,8,1,13,14,1.0,W
0022500087,2025-10-22,1610612762,Jazz,UTA,UTA vs. LAC,2.0,28,39,0.718,12,21,0.571,10,13,0.769,3,17,20,22,8,4,7,8,31.0,W
0022500087,2025-10-22,1610612746,Clippers,LAC,LAC @ UTA,2.0,19,41,0.463,7,22,0.318,2,3,0.667,4,8,12,13,5,1,11,12,-31.0,L
0022500081,2025-10-22,1610612753,Magic,ORL,ORL vs. MIA,2.0,25,48,0.521,8,18,0.444,11,15,0.733,4,19,23,12,5,3,6,10,4.0,W
0022500081,2025-10-22,1610612748,Heat,MIA,MIA @ ORL,2.0,22,43,0.512,8,18,0.444,13,16,0.813,4,20,24,13,6,2,9,12,-4.0,L
0022500086,2025-10-22,1610612749,Bucks,MIL,MIL vs. WAS,2.0,26,51,0.51,13,28,0.464,7,9,0.778,5,23,28,20,6,4,5,13,19.0,W
0022500086,2025-10-22,1610612764,Wizards,WAS,WAS @ MIL,2.0,20,48,0.417,7,19,0.368,6,12,0.5,7,21,28,8,3,3,9,10,-19.0,L
0022500089,2025-10-22,1610612757,Trail Blazers,POR,POR vs. MIN,2.0,21,50,0.42,8,23,0.348,11,14,0.786,4,17,21,16,6,2,5,7,4.0,L
0022500089,2025-10-22,1610612750,Timberwolves,MIN,MIN @ POR,2.0,21,44,0.477,8,18,0.444,7,9,0.778,7,19,26,10,4,7,9,11,-4.0,W
0022500080,2025-10-22,1610612766,Hornets,CHA,CHA vs. BKN,2.0,26,44,0.591,8,15,0.533,17,22,0.773,6,18,24,20,4,4,5,17,17.0,W
0022500080,2025-10-22,1610612751,Nets,BKN,BKN @ CHA,2.0,20,44,0.455,4,15,0.267,16,25,0.64,5,12,17,14,1,1,7,16,-17.0,L
0022500003,2025-10-22,1610612752,Knicks,NYK,NYK vs. CLE,2.0,20,43,0.465,8,21,0.381,17,19,0.895,6,21,27,11,4,2,7,7,15.0,W
0022500003,2025-10-22,1610612739,Cavaliers,CLE,CLE @ NYK,2.0,19,45,0.422,9,22,0.409,3,5,0.6,3,13,16,13,5,1,8,11,-15.0,L
0022500083,2025-10-22,1610612738,Celtics,BOS,BOS vs. PHI,2.0,21,47,0.447,5,23,0.217,4,5,0.8,4,16,20,9,5,2,6,11,-6.0,L
