KALSHI_ID,TIMESTAMP,end_period_ts,open_interest,volume,price_close,price_high,price_low,price_mean,price_open
KXNBAGAME-25OCT21HOUOKC-HOU,2025-10-21 19:00:00+00:00,1761073200,625472.0,96317.0,0.31,0.31,0.3,0.3098,0.31
KXNBAGAME-25OCT21GSWLAL-GSW,2025-10-21 22:00:00+00:00,1761084000,605829.0,106223.0,0.59,0.59,0.58,0.5891,0.59
KXNBAGAME-25OCT22WASMIL-WAS,2025-10-22 20:00:00+00:00,1761163200,112969.0,6784.0,0.2,0.2,0.19,0.1998,0.2
KXNBAGAME-25OCT22CLENYK-CLE,2025-10-22 19:00:00+00:00,1761159600,626019.0,181277.0,0.54,0.6,0.53,0.5537,0.59
KXNBAGAME-25OCT22MIAORL-MIA,2025-10-22 19:00:00+00:00,1761159600,276332.0,102947.0,0.24,0.25,0.23,0.2454,0.25
KXNBAGAME-25OCT22SACPHX-SAC,2025-10-22 22:00:00+00:00,1761170400,50585.0,12695.0,0.39,0.39,0.38,0.39,0.39
KXNBAGAME-25OCT22MINPOR-MIN,2025-10-22 22:00:00+00:00,1761170400,256764.0,32762.0,0.64,0.65,0.63,0.6399,0.65
KXNBAGAME-25OCT22TORATL-TOR,2025-10-22 19:00:00+00:00,1761159600,33552.0,6062.0,0.33,0.33,0.32,0.33,0.33
KXNBAGAME-25OCT22PHIBOS-PHI,2025-10-22 19:00:00+00:00,1761159600,249929.0,56718.0,0.38,0.39,0.37,0.3823,0.39
KXNBAGAME-25OCT22DETCHI-DET,2025-10-22 20:00:00+00:00,1761163200,162090.0,23767.0,0.59,0.59,0.56,0.5825,0.57
KXNBAGAME-25OCT22SASDAL-SAS,2025-10-22 21:00:00+00:00,1761166800,121542.0,12984.0,0.43,0.43,0.42,0.4295,0.43
KXNBAGAME-25OCT22LACUTA-LAC,2025-10-22 21:00:00+00:00,1761166800,84502.0,9940.0,0.8,0.8,0.78,0.7899,0.79
KXNBAGAME-25OCT22NOPMEM-NOP,2025-10-22 20:00:00+00:00,1761163200,123027.0,6872.0,0.39,0.39,0.39,0.39,0.39
KXNBAGAME-25OCT22BKNCHA-BKN,2025-10-22 19:00:00+00:00,1761159600,74345.0,1299.0,0.36,0.36,0.34,0.3592,0.36
KXNBAGAME-25OCT23OKCIND-OKC,2025-10-23 19:00:00+00:00,1761246000,361824.0,26805.0,0.74,0.75,0.74,0.7484,0.75
KXNBAGAME-25OCT23DENGSW-DEN,2025-10-23 22:00:00+00:00,1761256800,645307.0,122576.0,0.47,0.47,0.46,0.47,0.47
KXNBAGAME-25OCT24CLEBKN-CLE,2025-10-24 19:00:00+00:00,1761332400,120641.0,6927.0,0.86,0.86,0.85,0.8589,0.86
KXNBAGAME-25OCT24BOSNYK-BOS,2025-10-24 19:00:00+00:00,1761332400,113485.0,4353.0,0.41,0.41,0.4,0.409,0.41
